date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-25,Washington,0.0,-0.0386,0.134,0.0171,-0.0042899999999999995,0.00571,-0.00352
2020-2-25,Nashville,0.0386,-0.00857,0.136,0.0614,0.0243,0.0,0.00296
2020-2-25,Milwaukee,0.0543,0.02,0.137,0.0229,0.0343,-0.00286,0.00804
2020-2-25,Albuquerque,0.0343,0.0443,-0.0286,0.00429,0.0171,0.0,-0.00234
2020-2-25,Tucson,0.0129,0.0414,0.06,0.00571,-0.0429,0.0071400000000000005,-0.007529999999999999
2020-2-25,Fresno,0.0557,0.0129,0.204,0.02,0.0129,-0.00286,0.0042899999999999995
2020-2-25,Sacramento,0.0314,0.00857,0.29,0.0214,0.01,-0.0042899999999999995,0.006809999999999999
2020-2-25,Atlanta,0.01,-0.0271,0.0671,0.0143,0.00571,0.0042899999999999995,-0.0026899999999999997
2020-2-25,Kansas City,0.0543,0.01,0.113,0.0357,0.0586,-0.01,0.0136
2020-2-25,Miami,0.00857,0.00143,0.0357,-0.00571,0.02,0.0,-3.16e-08
2020-2-25,Raleigh,-0.03,-0.0429,0.0286,0.0186,-0.0371,0.03,-0.0292
2020-2-25,Omaha,0.0643,0.0643,0.3,0.0371,0.0286,-0.00857,0.0137
2020-2-25,Oakland,0.01,0.0157,0.163,0.0286,0.0243,-0.0042899999999999995,0.006809999999999999
2020-2-25,Minneapolis,0.0343,0.0157,0.0757,0.0757,0.0214,-0.0071400000000000005,0.0114
2020-2-25,Tampa,0.0229,0.00857,0.07,0.0457,0.02,-0.00143,0.00322
2020-2-25,New Orleans,0.461,0.433,0.591,1.15,-0.14400000000000002,0.00286,0.007390000000000001
2020-2-25,Wichita,0.04,-0.00286,-0.04,0.00143,0.02,0.00143,-0.0016899999999999999
2020-2-25,Cleveland,0.0343,-0.0114,0.304,0.0571,0.0257,-0.0042899999999999995,0.008320000000000001
2020-2-25,Bakersfield,0.0471,0.0042899999999999995,0.246,0.04,0.0114,0.0,0.00040199999999999996
2020-2-25,Honolulu,0.01,-0.00286,0.0729,0.0114,0.0129,0.00143,-0.000234
2020-2-25,Boise,0.0557,0.06,0.376,0.0486,0.0243,-0.00857,0.0113
2020-2-25,Salt Lake City,0.0643,0.0857,0.19,0.04,0.0329,-0.00571,0.007379999999999999
2020-2-25,Virginia Beach,0.0,-0.01,0.0486,-0.0129,0.00571,0.0143,-0.0125
2020-2-25,Colorado Springs,-0.00571,-0.0143,-0.21,-0.01,0.0129,0.0071400000000000005,-0.012
2020-2-25,Tulsa,0.02,0.00571,-0.00143,0.0471,0.0186,0.00143,-0.0021899999999999997
2020-2-26,Los Angeles,0.0157,0.00286,0.0714,0.00571,0.0243,-0.0042899999999999995,0.0036200000000000004
2020-2-26,New York City,0.0174,-0.0207,0.12,-0.00765,0.000408,0.0053,-0.00255
2020-2-26,Chicago,0.0343,0.0243,0.263,0.0214,0.0214,-0.00571,0.0117
2020-2-26,Houston,0.04,-0.00143,0.0243,0,0.0243,-0.00143,0.00253
2020-2-26,Phoenix,0.0471,-2.66e-10,0.0371,0.0543,0.0129,0.00143,-0.00301
2020-2-26,San Diego,0.0143,-0.0143,0.0414,-7.98E-10,0.0243,-0.00143,-0.000322
2020-2-26,Dallas,0.04,0.0042899999999999995,0.0771,0.00429,0.0329,-0.00857,0.00865
2020-2-26,Las Vegas,0.0386,0.0,0.0629,0.02,-0.00143,0.00286,-0.0048
2020-2-26,Seattle,0.0286,-0.0129,0.337,0.0329,-0.01,-0.00286,0.00441
2020-2-26,Fort Worth,0.0371,0.0129,0.0629,0.03,0.0329,-0.01,0.0116
2020-2-26,San Antonio,0.0371,0.0486,0.0214,-0.0157,0.0229,-0.0071400000000000005,0.00981
2020-2-26,San Jose,-0.00143,-0.00143,0.179,-0.0257,0.0042899999999999995,0.0,0.00281
2020-2-26,Detroit,0.0414,-0.00286,0.264,0.123,-0.0071400000000000005,0.0071400000000000005,-0.00298
2020-2-26,Philadelphia,0.0514,0.0129,0.359,0.03,0.03,-0.00143,0.004229999999999999
2020-2-26,Columbus,0.0443,0.0143,0.19,0.0271,0.02,-0.00286,0.006220000000000001
2020-2-26,Austin,0.0357,0.00286,0.0843,-0.00571,0.04,-0.00571,0.0070799999999999995
2020-2-26,Charlotte,0.0157,-0.0186,0.0814,0.0314,0.0,0.0114,-0.00867
2020-2-26,Indianapolis,0.0457,-0.00143,0.206,0.0257,0.0186,0.0,0.00293
2020-2-26,Jacksonville,0.00286,-0.0186,-0.0857,0.0157,0.0114,0.00571,-0.0054600000000000004
2020-2-26,Memphis,0.01,0.0229,0.1,-0.00714,0.0157,0.00143,-0.00202
2020-2-26,San Francisco,0.0314,0.0143,0.156,0.00429,0.0214,-0.00143,0.0014
2020-2-26,El Paso,0.04,0.01,-0.233,0.144,0.0243,-0.0071400000000000005,0.008790000000000001
2020-2-26,Baltimore,0.0571,0.00571,0.15,0.0171,0.0343,-0.00286,0.00563
2020-2-26,Portland,0.0686,0.0186,0.306,0.0443,0.0229,-0.00857,0.0108
2020-2-26,Boston,0.0329,-0.00286,0.226,0.0171,0.0114,0.00286,8.06e-05
2020-2-26,Oklahoma City,0.0343,0.0143,-0.0257,0,0.02,0.0,-0.00162
2020-2-26,Louisville,0.0286,0.0929,0.234,0.0286,0.0157,-0.00286,0.006220000000000001
2020-2-26,Denver,-0.0071400000000000005,0.02,-0.0829,0.02,0.0257,0.00143,-0.00286
2020-2-26,Washington,0.0071400000000000005,-0.0386,0.114,0.03,0.0042899999999999995,0.0042899999999999995,-0.0019199999999999998
2020-2-26,Nashville,0.0386,-0.00571,0.106,0.06,0.0229,0.00143,0.0013599999999999999
2020-2-26,Milwaukee,0.0643,0.0229,0.144,0.0229,0.0343,-0.00286,0.00804
2020-2-26,Albuquerque,0.0486,0.0457,-0.0243,0.00857,0.0186,-0.00143,-0.000736
2020-2-26,Tucson,0.02,0.0443,0.0471,0.00286,-0.0414,0.0071400000000000005,-0.007529999999999999
2020-2-26,Fresno,0.0686,0.02,0.213,0.02,0.0143,-0.0042899999999999995,0.00589
2020-2-26,Sacramento,0.0386,0.0114,0.299,0.0257,0.0143,-0.00571,0.008409999999999999
