date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-18,22,-0.00314,-0.00405,.,.
2020-1-18,23,.,.,.,.
2020-1-18,24,-0.00075,.,0.000523,-0.000881
2020-1-18,25,-0.00118,-0.00561,0.000161,-0.00138
2020-1-18,26,0.000063,0.00211,-0.000227,.
2020-1-18,27,-0.000378,.,-0.000504,0.00354
2020-1-18,28,-0.0027,.,.,-0.00533
2020-1-18,29,-0.000147,0.00273,-0.0000363,-0.000688
2020-1-18,30,-0.00135,-0.000618,-0.000335,-0.00404
2020-1-18,31,0.0000774,-0.00181,0.00134,0.000319
2020-1-18,32,0.000825,.,-0.0012,-0.00206
2020-1-18,33,0.000577,0.0042,0.00117,-0.00652
2020-1-18,34,0.00238,0.00341,.,-0.00373
2020-1-18,35,0.00572,-0.00727,0.0108,0.0017
2020-1-18,36,-0.00166,0.00132,-0.00338,-0.00115
2020-1-18,37,0.000512,.,0.000601,-0.00139
2020-1-18,38,-0.000789,-0.000253,0.000805,-0.004
2020-1-18,39,0.0014,.,0.000326,-0.00735
2020-1-18,40,0.00501,-0.00343,.,0.01
2020-1-18,41,0.00178,0.00236,0.0019,0.0015
2020-1-18,42,0.000974,-0.00233,0.00289,-0.00018
2020-1-18,43,-0.000486,-0.0043,-0.00119,0.00419
2020-1-18,44,-0.000812,0.000745,-0.000326,-0.00463
2020-1-18,45,0.00195,.,.,.
2020-1-18,46,0.0019,.,-0.000114,-0.00369
2020-1-18,47,-0.00448,-0.00241,-0.0064,-0.00065
2020-1-18,48,0.00785,.,.,.
2020-1-18,49,-0.00393,0.00676,.,.
2020-1-18,50,-0.00185,-0.00723,-0.00345,0.00826
2020-1-18,51,.,.,.,.
2020-1-18,52,0.00359,.,0.00734,0.00339
2020-1-18,53,0.00143,0.00683,0.000224,-0.00154
2020-1-19,1,0.00158,-0.00404,0.00242,0.00154
2020-1-19,2,0.00135,0.00144,0.000633,0.0023
2020-1-19,3,0.000128,0.00127,0.000342,-0.000917
2020-1-19,4,-0.000358,.,0.000454,-0.000658
2020-1-19,5,-0.00233,-0.006,-0.00104,-0.00159
2020-1-19,6,0.000506,-0.00905,0.00336,0.0000447
2020-1-19,7,-0.000351,-0.00104,0.00176,-0.00303
2020-1-19,8,0.000923,.,0.000715,0.00143
2020-1-19,9,0.00258,-0.0314,0.00395,0.00317
2020-1-19,10,0.00182,0.0101,-0.000576,-0.00192
2020-1-19,11,0.00079,0.000123,-0.00109,0.00677
2020-1-19,12,0.00232,0.004,0.00331,0.00104
2020-1-19,13,0.00186,.,.,0.00123
2020-1-19,14,-0.00059,0.0000413,.,-0.00393
2020-1-19,15,-0.000232,0.00341,.,-0.00206
2020-1-19,16,-0.00317,0.0035,.,-0.00631
2020-1-19,17,-0.00158,-0.000567,-0.000232,-0.0053
2020-1-19,18,0.00391,0.00101,0.00472,0.0051
2020-1-19,19,0.00447,0.0218,0.00129,.
2020-1-19,20,0.00109,-0.000781,0.00319,.
2020-1-19,21,-0.000123,-0.00713,0.00176,-0.00166
2020-1-19,22,-0.00015,-0.00271,.,.
2020-1-19,23,.,.,.,.
2020-1-19,24,0.00025,.,0.00196,-0.00104
2020-1-19,25,-0.00011,-0.00354,0.001,-0.000352
2020-1-19,26,0.00114,0.00414,0.000334,.
2020-1-19,27,0.000205,.,-0.000168,0.00482
2020-1-19,28,-0.00169,.,.,-0.00465
2020-1-19,29,0.000854,0.00251,0.00157,-0.000092
2020-1-19,30,-0.000569,-0.0000428,0.000708,-0.00363
2020-1-19,31,0.00102,-0.000543,0.00225,0.000818
2020-1-19,32,0.00301,.,0.00074,-0.0017
2020-1-19,33,0.00163,0.0036,0.00365,-0.00736
2020-1-19,34,0.00364,0.000794,.,-0.00302
2020-1-19,35,0.00561,-0.00962,0.0108,0.00229
2020-1-19,36,-0.000992,0.0025,-0.00224,-0.00142
2020-1-19,37,0.00045,.,0.000811,-0.00271
2020-1-19,38,0.000698,-0.000469,0.00337,-0.00277
2020-1-19,39,0.00288,.,0.00313,-0.00557
2020-1-19,40,0.00316,-0.00279,.,0.00744
2020-1-19,41,0.00259,0.00335,0.00285,0.00207
2020-1-19,42,0.00132,-0.000469,0.00353,-0.00103
2020-1-19,43,0.000345,-0.00326,-0.000686,0.00548
2020-1-19,44,-0.000714,0.00106,0.0000715,-0.00554
2020-1-19,45,0.00143,.,.,.
2020-1-19,46,0.00105,.,0.000559,-0.00392
2020-1-19,47,-0.00134,-0.00302,-0.00134,0.000654
2020-1-19,48,0.0118,.,.,.
2020-1-19,49,-0.00118,0.00818,.,.
2020-1-19,50,0.0000742,-0.00282,-0.0017,0.00761
2020-1-19,51,.,.,.,.
2020-1-19,52,0.00407,.,0.00828,0.0028
2020-1-19,53,0.00107,0.00637,-5.59E-06,-0.00206
2020-1-20,1,0.00272,-0.00438,0.00394,0.00234
2020-1-20,2,0.00236,0.00311,0.00145,0.00347
2020-1-20,3,0.00109,0.00321,0.00119,-0.000373
2020-1-20,4,0.00141,.,0.00298,0.000129
2020-1-20,5,-0.00181,-0.00572,-0.000115,-0.00175
2020-1-20,6,0.00188,-0.0103,0.00562,0.00111
2020-1-20,7,0.000526,0.000819,0.00287,-0.00341
2020-1-20,8,0.00153,.,0.00175,0.00163
2020-1-20,9,0.00386,-0.0286,0.00579,0.00349
2020-1-20,10,0.00305,0.0103,0.0015,-0.0014
2020-1-20,11,0.00103,0.000626,0.000195,0.00392
2020-1-20,12,0.00367,0.00575,0.00502,0.00195
2020-1-20,13,0.00325,.,.,0.0022
2020-1-20,14,-0.0000834,0.00303,.,-0.00365
2020-1-20,15,0.000655,0.00393,.,-0.00125
2020-1-20,16,0.000507,0.00532,.,-0.00535
2020-1-20,17,-0.000946,6.74E-06,0.000971,-0.0057
2020-1-20,18,0.0049,0.00044,0.00654,0.00586
2020-1-20,19,0.00323,0.0179,0.00209,.
2020-1-20,20,0.00262,0.00116,0.005,.
2020-1-20,21,0.00132,-0.00638,0.00243,0.000556
2020-1-20,22,0.00287,-0.00101,.,.
2020-1-20,23,.,.,.,.
2020-1-20,24,0.00122,.,0.00328,-0.00116
2020-1-20,25,0.000963,-0.00157,0.00186,0.000697
2020-1-20,26,0.00219,0.00595,0.000879,.
2020-1-20,27,0.000637,.,0.000059,0.00567
2020-1-20,28,-0.00067,.,.,-0.00379
2020-1-20,29,0.00175,0.00219,0.00298,0.000485
2020-1-20,30,0.000182,0.000438,0.00168,-0.00312
2020-1-20,31,0.00187,0.000766,0.00296,0.00122
2020-1-20,32,0.0049,.,0.00246,-0.00123
2020-1-20,33,0.00249,0.00283,0.00579,-0.00787
2020-1-20,34,0.00471,-0.00158,.,-0.00231
2020-1-20,35,0.00522,-0.0116,0.0102,0.00273
2020-1-20,36,-0.000348,0.00346,-0.00107,-0.00169
2020-1-20,37,0.000354,.,0.000962,-0.0039
2020-1-20,38,0.00208,-0.000664,0.00565,-0.00146
2020-1-20,39,0.00407,.,0.00563,-0.00365
2020-1-20,40,0.00118,-0.00182,.,0.00441
2020-1-20,41,0.00326,0.00425,0.00368,0.00246
2020-1-20,42,0.00158,0.00126,0.00403,-0.00188
2020-1-20,43,0.00109,-0.00205,-0.000198,0.00632
2020-1-20,44,-0.000594,0.00125,0.000431,-0.00604
2020-1-20,45,0.00089,.,.,.
2020-1-20,46,0.000148,.,0.00113,-0.00387
2020-1-20,47,0.00176,-0.00356,0.00365,0.00186
2020-1-20,48,0.0156,.,.,.
2020-1-20,49,0.00148,0.00901,.,.
2020-1-20,50,0.00199,0.0018,0.000102,0.00653
2020-1-20,51,.,.,.,.
2020-1-20,52,0.00446,.,0.00902,0.00212
2020-1-20,53,0.000625,0.00556,-0.000246,-0.00253
2020-1-21,1,0.00372,-0.00475,0.00528,0.00304
2020-1-21,2,0.00322,0.00445,0.00217,0.00443
2020-1-21,3,0.00198,0.00481,0.00199,0.000198
2020-1-21,4,0.00303,.,0.0053,0.0009
2020-1-21,5,-0.00124,-0.00527,0.000824,-0.00191
2020-1-21,6,0.00316,-0.0113,0.00763,0.00214
2020-1-21,7,0.00129,0.00233,0.00381,-0.00358
2020-1-21,8,0.00205,.,0.00272,0.0018
2020-1-21,9,0.0049,-0.0254,0.00733,0.00362
2020-1-21,10,0.00406,0.00988,0.0035,-0.000893
2020-1-21,11,0.00108,0.00082,0.00144,0.000792
2020-1-21,12,0.00488,0.00719,0.00655,0.00278
2020-1-21,13,0.00446,.,.,0.00306
2020-1-21,14,0.000409,0.00567,.,-0.00321
2020-1-21,15,0.00147,0.00422,.,-0.000344
2020-1-21,16,0.00421,0.00664,.,-0.00405
2020-1-21,17,-0.000321,0.000341,0.00211,-0.00577
2020-1-21,18,0.00558,-0.000218,0.00795,0.00628
2020-1-21,19,0.00186,0.0131,0.00285,.
2020-1-21,20,0.00399,0.00295,0.00657,.
2020-1-21,21,0.00267,-0.00547,0.00299,0.00269
2020-1-21,22,0.00526,0.0000682,.,.
2020-1-21,23,.,.,.,.
2020-1-21,24,0.00214,.,0.00448,-0.00123
2020-1-21,25,0.00202,0.00025,0.00273,0.00173
2020-1-21,26,0.00314,0.0074,0.00139,.
2020-1-21,27,0.000952,.,0.00021,0.00618
2020-1-21,28,0.000349,.,.,-0.00277
2020-1-21,29,0.00254,0.00172,0.0042,0.00105
2020-1-21,30,0.000881,0.000751,0.00256,-0.00252
2020-1-21,31,0.00261,0.00204,0.0035,0.00152
2020-1-21,32,0.00648,.,0.00399,-0.000671
2020-1-21,33,0.00311,0.00158,0.00758,-0.00807
2020-1-21,34,0.0056,-0.0038,.,-0.0016
2020-1-21,35,0.00458,-0.0134,0.00929,0.00308
2020-1-21,36,0.000238,0.00407,0.000114,-0.00194
2020-1-21,37,0.000209,.,0.00106,-0.00492
2020-1-21,38,0.00335,-0.000808,0.00764,-0.000104
2020-1-21,39,0.00492,.,0.0078,-0.00164
2020-1-21,40,-0.000917,-0.000721,.,0.00107
2020-1-21,41,0.00382,0.0049,0.00441,0.00273
2020-1-21,42,0.00175,0.00284,0.00438,-0.00267
2020-1-21,43,0.00172,-0.000875,0.000295,0.00676
2020-1-21,44,-0.00046,0.0013,0.000795,-0.00623
2020-1-21,45,0.00031,.,.,.
2020-1-21,46,-0.000805,.,0.00161,-0.00358
2020-1-21,47,0.00473,-0.00429,0.00853,0.00295
2020-1-21,48,0.019,.,.,.
2020-1-21,49,0.00397,0.00924,.,.
2020-1-21,50,0.00382,0.00637,0.00192,0.00509
2020-1-21,51,.,.,.,.
2020-1-21,52,0.00468,.,0.00955,0.00137
2020-1-21,53,0.000115,0.00437,-0.000466,-0.00293
2020-1-22,1,0.00462,-0.00502,0.00648,0.00367
2020-1-22,2,0.00394,0.00554,0.00282,0.00519
2020-1-22,3,0.00283,0.0063,0.00276,0.000781
2020-1-22,4,0.00456,.,0.00742,0.00165
2020-1-22,5,-0.000565,-0.00453,0.00178,-0.00198
2020-1-22,6,0.00437,-0.0119,0.00944,0.00313
2020-1-22,7,0.00203,0.00381,0.0046,-0.00358
2020-1-22,8,0.00255,.,0.00362,0.00197
