date,cityid,initclaims_count_regular,initclaims_rate_regular
2020-5-2,Colorado Springs,2485,0.725
2020-5-9,Los Angeles,60781,1.19
2020-5-9,New York City,99493,2.48
2020-5-9,Chicago,30834,1.19
2020-5-9,Phoenix,9801,0.424
2020-5-9,San Diego,18442,1.16
2020-5-9,Las Vegas,19387,1.71
2020-5-9,Seattle,37701,2.92
2020-5-9,San Jose,8801,0.835
2020-5-9,Philadelphia,5332,0.738
2020-5-9,Columbus,5490,0.787
2020-5-9,Indianapolis,5377,1.09
2020-5-9,San Francisco,4503,0.772
2020-5-9,Baltimore,6538,2.25
2020-5-9,Louisville,9669,2.4
2020-5-9,Denver,3263,0.774
2020-5-9,Washington,5782,1.41
2020-5-9,Milwaukee,6574,1.41
2020-5-9,Tucson,2058,0.413
2020-5-9,Fresno,6427,1.43
2020-5-9,Sacramento,8335,1.17
2020-5-9,Atlanta,31486,5.65
2020-5-9,Kansas City,3254,0.895
2020-5-9,Omaha,1906,0.636
2020-5-9,Oakland,8641,1.02
2020-5-9,Cleveland,5649,0.919
2020-5-9,Bakersfield,5603,1.43
2020-5-9,Honolulu,7969,1.77
2020-5-9,Boise,928,0.365
2020-5-9,Colorado Springs,1868,0.545
2020-5-16,Los Angeles,69859,1.36
2020-5-16,New York City,116871,2.91
2020-5-16,Chicago,30880,1.19
2020-5-16,Phoenix,8043,0.348
2020-5-16,San Diego,21197,1.33
2020-5-16,Las Vegas,16440,1.45
2020-5-16,Seattle,47136,3.65
2020-5-16,San Jose,10115,0.96
2020-5-16,Philadelphia,3448,0.478
2020-5-16,Columbus,5069,0.727
2020-5-16,Indianapolis,5844,1.19
2020-5-16,San Francisco,5176,0.888
2020-5-16,Baltimore,5675,1.95
2020-5-16,Louisville,6595,1.64
2020-5-16,Denver,2644,0.628
2020-5-16,Washington,5196,1.27
2020-5-16,Milwaukee,5965,1.28
2020-5-16,Tucson,1589,0.319
2020-5-16,Fresno,7387,1.64
2020-5-16,Sacramento,9580,1.34
2020-5-16,Atlanta,23051,4.14
2020-5-16,Kansas City,2817,0.775
2020-5-16,Omaha,1798,0.6
2020-5-16,Oakland,9932,1.18
2020-5-16,Cleveland,5277,0.859
2020-5-16,Bakersfield,6440,1.65
2020-5-16,Honolulu,7014,1.56
2020-5-16,Boise,757,0.298
2020-5-16,Colorado Springs,1749,0.51
2020-5-23,Los Angeles,58093,1.13
2020-5-23,New York City,97872,2.44
2020-5-23,Chicago,24721,0.953
2020-5-23,Phoenix,7380,0.319
2020-5-23,San Diego,17627,1.11
2020-5-23,Las Vegas,14817,1.31
2020-5-23,Seattle,14371,1.11
2020-5-23,San Jose,8412,0.798
