date,cityid,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020-1-12,18,-0.0075599998,0.056699999,-0.020300001,0.033500001,0.0012300001
2020-1-12,19,-0.040899999,-0.0033400001,-0.178,-0.0427,0.0055800001
2020-1-12,20,-0.0229,0.0107,0.039700001,-0.036800001,-0.057
2020-1-12,21,-0.013,-0.000424,0.123,-0.12899999,-0.0504
2020-1-12,22,-0.051800001,-0.0219,-0.114,-0.077200003,0.0264
2020-1-12,23,-0.0155,0.062600002,0.034400001,-0.097499996,-0.075999998
2020-1-12,24,-0.0163,0.0112,0.095700003,-0.161,0.0116
2020-1-12,25,0.028100001,-0.026699999,0.16599999,0.156,0.0125
2020-1-12,26,-0.0135,0.015699999,-0.079400003,-0.0308,-0.066600002
2020-1-12,27,-0.048500001,-0.030300001,-0.178,-0.051100001,-0.029899999
2020-1-12,28,-0.048300002,-0.032099999,-0.107,-0.030099999,-0.0285
2020-1-12,29,-0.0029200001,-0.176,0.17,0.0416,-0.0495
2020-1-12,30,0.019200001,0.030200001,0.125,0.031599998,-0.0266
2020-1-12,31,-0.071699999,-0.107,,-0.0041899998,-0.148
2020-1-12,32,0.0080599999,0.0051699998,0.096799999,0.0127,-0.048300002
2020-1-12,33,0.0059600002,-0.00101,0.065499999,0.101,-0.046599999
2020-1-12,34,0.048700001,-0.056000002,0.15700001,0.058499999,0.0493
2020-1-12,35,0.0359,0.0262,-0.13,0.093900003,0.021
2020-1-12,36,-0.063900001,-0.037,-0.222,0.047400001,-0.075000003
2020-1-12,37,-0.0265,0.0042900001,0.057100002,0.0296,-0.088
2020-1-12,38,-0.057300001,-0.065700002,-0.084899999,-0.0308,-0.075499997
2020-1-12,39,-0.0075300001,-0.064199999,-0.029300001,0.034899998,-0.0035699999
2020-1-12,40,-0.030400001,0.038800001,0.071800001,-0.12800001,-0.022500001
2020-1-12,41,0.0199,-0.00028899999,0.115,0.0425,-0.035399999
2020-1-12,42,-0.019200001,-0.087399997,-0.0287,0.078299999,-0.061700001
2020-1-12,43,-0.031199999,-0.011,0.0085399998,-0.094400004,-0.045899998
2020-1-12,44,-0.139,0.047600001,-0.168,-0.38699999,-0.0127
2020-1-12,45,0.024800001,0.0122,0.21699999,-0.0462,0.0118
2020-1-12,46,-0.033599999,-0.0374,-0.035,0.086099997,-0.044799998
2020-1-12,47,0.0079600001,0.0383,0.12899999,0.097800002,-0.0222
2020-1-12,48,0.0035300001,0.021199999,-0.148,0.088799998,0.0232
2020-1-12,49,-0.0189,-0.0055999998,-0.098099999,-0.028200001,0.0126
2020-1-12,50,0.0117,-0.0244,0.0274,0.055399999,0.0143
