date,cityid,case_count,death_count,case_rate,death_rate,new_case_rate,new_death_rate,new_case_count,new_death_count
2020-1-24,Fresno,0,0,0.0,0.0,.,.,.,.
2020-1-24,Sacramento,0,0,0.0,0.0,.,.,.,.
2020-1-24,Atlanta,0,0,0.0,0.0,.,.,.,.
2020-1-24,Kansas City,0,0,0.0,0.0,.,.,.,.
2020-1-24,Miami,0,0,0.0,0.0,.,.,.,.
2020-1-24,Raleigh,0,0,0.0,0.0,.,.,.,.
2020-1-24,Omaha,0,0,0.0,0.0,.,.,.,.
2020-1-24,Oakland,0,0,0.0,0.0,.,.,.,.
2020-1-24,Minneapolis,0,0,0.0,0.0,.,.,.,.
2020-1-24,Tampa,0,0,0.0,0.0,.,.,.,.
2020-1-24,New Orleans,0,0,0.0,0.0,.,.,.,.
2020-1-24,Wichita,0,0,0.0,0.0,.,.,.,.
2020-1-24,Cleveland,0,0,0.0,0.0,.,.,.,.
2020-1-24,Bakersfield,0,0,0.0,0.0,.,.,.,.
2020-1-24,Honolulu,0,0,0.0,0.0,.,.,.,.
2020-1-24,Boise,0,0,0.0,0.0,.,.,.,.
2020-1-24,Salt Lake City,0,0,0.0,0.0,.,.,.,.
2020-1-24,Virginia Beach,0,0,0.0,0.0,.,.,.,.
2020-1-24,Colorado Springs,0,0,0.0,0.0,.,.,.,.
2020-1-24,Tulsa,0,0,0.0,0.0,.,.,.,.
2020-1-25,Los Angeles,0,0,0.0,0.0,.,.,.,.
2020-1-25,New York City,0,0,0.0,0.0,.,.,.,.
2020-1-25,Chicago,1,0,0.0194,0.0,.,.,.,.
2020-1-25,Houston,0,0,0.0,0.0,.,.,.,.
2020-1-25,Phoenix,0,0,0.0,0.0,.,.,.,.
2020-1-25,San Diego,0,0,0.0,0.0,.,.,.,.
2020-1-25,Dallas,0,0,0.0,0.0,.,.,.,.
2020-1-25,Las Vegas,0,0,0.0,0.0,.,.,.,.
2020-1-25,Seattle,0,0,0.0,0.0,.,.,.,.
2020-1-25,Fort Worth,0,0,0.0,0.0,.,.,.,.
2020-1-25,San Antonio,0,0,0.0,0.0,.,.,.,.
2020-1-25,San Jose,0,0,0.0,0.0,.,.,.,.
2020-1-25,Detroit,0,0,0.0,0.0,.,.,.,.
2020-1-25,Philadelphia,0,0,0.0,0.0,.,.,.,.
2020-1-25,Columbus,0,0,0.0,0.0,.,.,.,.
2020-1-25,Austin,0,0,0.0,0.0,.,.,.,.
2020-1-25,Charlotte,0,0,0.0,0.0,.,.,.,.
2020-1-25,Indianapolis,0,0,0.0,0.0,.,.,.,.
2020-1-25,Jacksonville,0,0,0.0,0.0,.,.,.,.
2020-1-25,Memphis,0,0,0.0,0.0,.,.,.,.
2020-1-25,San Francisco,0,0,0.0,0.0,.,.,.,.
2020-1-25,El Paso,0,0,0.0,0.0,.,.,.,.
2020-1-25,Baltimore,0,0,0.0,0.0,.,.,.,.
2020-1-25,Portland,0,0,0.0,0.0,.,.,.,.
2020-1-25,Boston,0,0,0.0,0.0,.,.,.,.
2020-1-25,Oklahoma City,0,0,0.0,0.0,.,.,.,.
2020-1-25,Louisville,0,0,0.0,0.0,.,.,.,.
2020-1-25,Denver,0,0,0.0,0.0,.,.,.,.
2020-1-25,Washington,0,0,0.0,0.0,.,.,.,.
2020-1-25,Nashville,0,0,0.0,0.0,.,.,.,.
2020-1-25,Milwaukee,0,0,0.0,0.0,.,.,.,.
2020-1-25,Albuquerque,0,0,0.0,0.0,.,.,.,.
2020-1-25,Tucson,0,0,0.0,0.0,.,.,.,.
2020-1-25,Fresno,0,0,0.0,0.0,.,.,.,.
2020-1-25,Sacramento,0,0,0.0,0.0,.,.,.,.
2020-1-25,Atlanta,0,0,0.0,0.0,.,.,.,.
2020-1-25,Kansas City,0,0,0.0,0.0,.,.,.,.
2020-1-25,Miami,0,0,0.0,0.0,.,.,.,.
2020-1-25,Raleigh,0,0,0.0,0.0,.,.,.,.
2020-1-25,Omaha,0,0,0.0,0.0,.,.,.,.
