date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-11,Fresno,0.0063200002,-0.0112,0.019400001,0.023499999,0.0095499996
2020-1-11,Sacramento,0.0184,0.0221,-0.0148,0.024599998999999997,-0.0044399997999999994
2020-1-11,Atlanta,-0.0058800001,-0.003,0.00281,-0.0132,-0.0068799998
2020-1-11,Kansas City,-0.024900001,-0.023800001,-0.0129,-0.038400002,-0.0173
2020-1-11,Miami,-0.00139,-0.0031000001,0.00352,0.0037199998999999997,-0.0143
2020-1-11,Raleigh,0.0068899998,-0.0092000002,0.0043000001000000005,0.0071100001000000005,-0.0017100000000000001
2020-1-11,Omaha,-0.0175,-0.0317,-0.033399999,-0.0043899999,-0.0244
2020-1-11,Oakland,0.0045699999,0.0149,0.027000001000000003,0.021400001000000002,-0.00148
2020-1-11,Minneapolis,-0.0117,-0.028100001,-0.042399999,0.0029100000000000003,-0.015
2020-1-11,Tampa,0.0077499998999999995,0.0187,-0.021600001,-0.0055399998,-0.0104
2020-1-11,New Orleans,-0.0153,0.0047200001,-0.0493,0.0295,-0.0319
2020-1-11,Wichita,0.0045400001,-0.0199,0.0189,0.0027600001,0.0251
2020-1-11,Cleveland,-0.0115,-0.019300001,0.024900001,-0.024800001000000002,-0.00196
2020-1-11,Bakersfield,-0.0032899999,0.0015300000000000001,0.053199999000000005,0.0060399999,-0.0014299998999999998
2020-1-11,Honolulu,0.00716,-0.00186,0.0127,0.0062699997999999995,0.026900001
2020-1-11,Boise,0.0241,0.052200000999999996,0.0103,0.040600002,0.0097099999
2020-1-11,Salt Lake City,0.0207,0.024,0.045400000999999995,0.025800001,-0.0048199999
2020-1-11,Virginia Beach,-0.0027000001,0.0239,-0.0744,-0.0046399998999999996,-0.0039400002
2020-1-11,Colorado Springs,-0.0038099999,-0.0228,0.0206,0.0135,-0.0112
2020-1-11,Tulsa,-0.00373,-0.011000000000000001,-0.030200001,0.0065000001,0.022600001
2020-1-12,Los Angeles,-0.0053500002,-0.009879999799999999,0.0049000001,-0.0066399998,0.000504
2020-1-12,New York City,-0.00056499999,0.0030400001,-0.0077200001,-0.0188,0.0050499998
2020-1-12,Chicago,-0.025800001,-0.0199,-0.05550000099999999,-0.0458,-0.015799999
